source_lang,target_lang,source_text,target_text
en,pa,I need help,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
hi,ja,शुभ रात्रि,おやすみなさい
ja,te,私は学生です,నేను విద్యార్థిని
ja,hi,これは私の本です,यह मेरी किताब है
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
hi,ja,स्वागत है,ようこそ
en,ja,Thank you,ありがとうございます
hi,en,आप कैसे हैं,How are you
te,pa,మీరు ఎలా ఉన్నారు,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
pa,hi,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,मुझे मदद चाहिए
te,ja,నమస్తే,こんにちは
en,pa,Thank you,ਧੰਨਵਾਦ
hi,te,यह मेरी किताब है,ఇది నా పుస్తకం
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
te,hi,ఇది నా పుస్తకం,यह मेरी किताब है
te,ja,శుభోదయం,おはようございます
te,ja,స్వాగతం,ようこそ
pa,ja,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,これは私の本です
ja,te,私はプログラミングが好きです,నాకు ప్రోగ్రామింగ్ ఇష్టం
hi,pa,मैं एक छात्र हूँ,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
en,hi,Thank you,धन्यवाद
hi,pa,धन्यवाद,ਧੰਨਵਾਦ
en,ja,I love programming,私はプログラミングが好きです
pa,te,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,నాకు సహాయం కావాలి
hi,te,सुप्रभात,శుభోదయం
te,pa,నాకు ప్రోగ్రామింగ్ ఇష్టం,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
te,pa,నేను విద్యార్థిని,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
pa,ja,ਸ਼ੁਭ ਰਾਤ,おやすみなさい
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
pa,hi,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,मुझे प्रोग्रामिंग पसंद है
en,hi,Hello,नमस्ते
en,hi,How are you,आप कैसे हैं
pa,en,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,I am a student
te,pa,నేను విద్యార్థిని,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
hi,pa,यह मेरी किताब है,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
ja,pa,ようこそ,ਸਵਾਗਤ ਹੈ
ja,en,助けが必要です,I need help
te,ja,నాకు ప్రోగ్రామింగ్ ఇష్టం,私はプログラミングが好きです
ja,en,私は学生です,I am a student
ja,te,お元気ですか,మీరు ఎలా ఉన్నారు
pa,en,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,I am a student
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
te,hi,ఇది నా పుస్తకం,यह मेरी किताब है
te,hi,శుభోదయం,सुप्रभात
pa,ja,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,お元気ですか
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
pa,te,ਸਵਾਗਤ ਹੈ,స్వాగతం
en,pa,How are you,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
hi,pa,स्वागत है,ਸਵਾਗਤ ਹੈ
en,hi,I need help,मुझे मदद चाहिए
pa,ja,ਸ਼ੁਭ ਸਵੇਰ,おはようございます
pa,ja,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,お元気ですか
pa,ja,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,こんにちは
te,en,ధన్యవాదాలు,Thank you
te,hi,నాకు సహాయం కావాలి,मुझे मदद चाहिए
hi,ja,स्वागत है,ようこそ
te,ja,నమస్తే,こんにちは
hi,te,मैं एक छात्र हूँ,నేను విద్యార్థిని
en,te,Welcome,స్వాగతం
ja,en,私はプログラミングが好きです,I love programming
pa,hi,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,मुझे मदद चाहिए
pa,ja,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,お元気ですか
hi,pa,मैं एक छात्र हूँ,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
ja,hi,お元気ですか,आप कैसे हैं
hi,ja,मुझे प्रोग्रामिंग पसंद है,私はプログラミングが好きです
en,hi,I love programming,मुझे प्रोग्रामिंग पसंद है
ja,pa,これは私の本です,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
te,en,మీరు ఎలా ఉన్నారు,How are you
en,ja,How are you,お元気ですか
te,pa,నేను విద్యార్థిని,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
ja,pa,ありがとうございます,ਧੰਨਵਾਦ
en,pa,Hello,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
ja,te,ようこそ,స్వాగతం
ja,te,こんにちは,నమస్తే
en,hi,Good night,शुभ रात्रि
pa,hi,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,मुझे प्रोग्रामिंग पसंद है
pa,te,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,మీరు ఎలా ఉన్నారు
pa,en,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,I need help
te,en,ధన్యవాదాలు,Thank you
ja,en,ようこそ,Welcome
hi,ja,स्वागत है,ようこそ
pa,hi,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,यह मेरी किताब है
te,hi,స్వాగతం,स्वागत है
te,ja,స్వాగతం,ようこそ
hi,en,मुझे प्रोग्रामिंग पसंद है,I love programming
hi,en,शुभ रात्रि,Good night
ja,pa,これは私の本です,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
te,ja,మీరు ఎలా ఉన్నారు,お元気ですか
ja,pa,おはようございます,ਸ਼ੁਭ ਸਵੇਰ
ja,en,ようこそ,Welcome
en,te,I need help,నాకు సహాయం కావాలి
ja,en,私は学生です,I am a student
en,pa,How are you,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
hi,pa,यह मेरी किताब है,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
pa,ja,ਸ਼ੁਭ ਰਾਤ,おやすみなさい
en,ja,I need help,助けが必要です
ja,en,おはようございます,Good morning
hi,pa,मैं एक छात्र हूँ,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
te,en,నమస్తే,Hello
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
ja,pa,おはようございます,ਸ਼ੁਭ ਸਵੇਰ
pa,ja,ਸਵਾਗਤ ਹੈ,ようこそ
hi,en,मुझे मदद चाहिए,I need help
ja,en,ありがとうございます,Thank you
en,hi,How are you,आप कैसे हैं
en,te,Good morning,శుభోదయం
hi,ja,आप कैसे हैं,お元気ですか
hi,te,सुप्रभात,శుభోదయం
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
hi,pa,यह मेरी किताब है,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
pa,ja,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,こんにちは
ja,hi,助けが必要です,मुझे मदद चाहिए
hi,pa,यह मेरी किताब है,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
pa,hi,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,मैं एक छात्र हूँ
te,pa,నాకు సహాయం కావాలి,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
ja,pa,私は学生です,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
en,pa,Good night,ਸ਼ੁਭ ਰਾਤ
hi,te,सुप्रभात,శుభోదయం
pa,ja,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,私は学生です
pa,en,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,I love programming
ja,en,私は学生です,I am a student
pa,hi,ਸ਼ੁਭ ਸਵੇਰ,सुप्रभात
hi,pa,यह मेरी किताब है,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
hi,en,मैं एक छात्र हूँ,I am a student
hi,en,स्वागत है,Welcome
en,ja,Good morning,おはようございます
te,ja,నాకు సహాయం కావాలి,助けが必要です
en,ja,Hello,こんにちは
en,ja,I am a student,私は学生です
ja,en,おやすみなさい,Good night
en,ja,Hello,こんにちは
en,hi,I am a student,मैं एक छात्र हूँ
ja,hi,ありがとうございます,धन्यवाद
ja,pa,私はプログラミングが好きです,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
pa,hi,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,नमस्ते
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
en,te,Welcome,స్వాగతం
ja,hi,おやすみなさい,शुभ रात्रि
hi,pa,आप कैसे हैं,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
te,en,నేను విద్యార్థిని,I am a student
pa,hi,ਸ਼ੁਭ ਸਵੇਰ,सुप्रभात
ja,hi,助けが必要です,मुझे मदद चाहिए
en,te,Good morning,శుభోదయం
ja,hi,ようこそ,स्वागत है
ja,en,おはようございます,Good morning
pa,te,ਸ਼ੁਭ ਰਾਤ,శుభ రాత్రి
ja,en,助けが必要です,I need help
hi,te,शुभ रात्रि,శుభ రాత్రి
en,te,How are you,మీరు ఎలా ఉన్నారు
pa,ja,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,こんにちは
ja,en,お元気ですか,How are you
en,hi,I love programming,मुझे प्रोग्रामिंग पसंद है
pa,te,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,మీరు ఎలా ఉన్నారు
te,pa,మీరు ఎలా ఉన్నారు,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
ja,en,助けが必要です,I need help
pa,hi,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,मुझे प्रोग्रामिंग पसंद है
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
te,en,స్వాగతం,Welcome
hi,en,शुभ रात्रि,Good night
hi,te,सुप्रभात,శుభోదయం
pa,en,ਧੰਨਵਾਦ,Thank you
te,pa,స్వాగతం,ਸਵਾਗਤ ਹੈ
pa,en,ਸਵਾਗਤ ਹੈ,Welcome
ja,hi,私は学生です,मैं एक छात्र हूँ
ja,en,助けが必要です,I need help
ja,hi,おやすみなさい,शुभ रात्रि
pa,en,ਸਵਾਗਤ ਹੈ,Welcome
en,pa,I am a student,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
te,en,ధన్యవాదాలు,Thank you
hi,te,नमस्ते,నమస్తే
ja,te,これは私の本です,ఇది నా పుస్తకం
hi,en,मुझे प्रोग्रामिंग पसंद है,I love programming
en,hi,Hello,नमस्ते
ja,hi,こんにちは,नमस्ते
te,en,శుభ రాత్రి,Good night
pa,ja,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,私はプログラミングが好きです
pa,te,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,ఇది నా పుస్తకం
ja,pa,ようこそ,ਸਵਾਗਤ ਹੈ
en,ja,How are you,お元気ですか
ja,pa,ようこそ,ਸਵਾਗਤ ਹੈ
ja,pa,お元気ですか,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
hi,pa,मुझे मदद चाहिए,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
ja,pa,ようこそ,ਸਵਾਗਤ ਹੈ
hi,pa,यह मेरी किताब है,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
hi,pa,सुप्रभात,ਸ਼ੁਭ ਸਵੇਰ
te,pa,ఇది నా పుస్తకం,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
hi,pa,सुप्रभात,ਸ਼ੁਭ ਸਵੇਰ
ja,hi,私は学生です,मैं एक छात्र हूँ
pa,te,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,నాకు సహాయం కావాలి
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
ja,pa,これは私の本です,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
pa,te,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,నాకు సహాయం కావాలి
pa,en,ਸਵਾਗਤ ਹੈ,Welcome
te,hi,మీరు ఎలా ఉన్నారు,आप कैसे हैं
pa,ja,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,これは私の本です
en,ja,Good morning,おはようございます
en,pa,Good night,ਸ਼ੁਭ ਰਾਤ
hi,te,धन्यवाद,ధన్యవాదాలు
te,en,శుభోదయం,Good morning
te,en,శుభోదయం,Good morning
ja,te,おやすみなさい,శుభ రాత్రి
en,te,How are you,మీరు ఎలా ఉన్నారు
te,en,నమస్తే,Hello
te,en,స్వాగతం,Welcome
te,pa,స్వాగతం,ਸਵਾਗਤ ਹੈ
ja,en,助けが必要です,I need help
en,ja,How are you,お元気ですか
ja,en,お元気ですか,How are you
ja,pa,ありがとうございます,ਧੰਨਵਾਦ
hi,pa,सुप्रभात,ਸ਼ੁਭ ਸਵੇਰ
pa,te,ਧੰਨਵਾਦ,ధన్యవాదాలు
hi,te,सुप्रभात,శుభోదయం
en,pa,This is my book,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
ja,te,ありがとうございます,ధన్యవాదాలు
ja,en,ありがとうございます,Thank you
hi,en,आप कैसे हैं,How are you
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
ja,te,お元気ですか,మీరు ఎలా ఉన్నారు
pa,hi,ਸ਼ੁਭ ਰਾਤ,शुभ रात्रि
pa,hi,ਸ਼ੁਭ ਸਵੇਰ,सुप्रभात
en,pa,Hello,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
pa,hi,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,यह मेरी किताब है
ja,en,こんにちは,Hello
en,ja,Thank you,ありがとうございます
te,ja,మీరు ఎలా ఉన్నారు,お元気ですか
te,pa,మీరు ఎలా ఉన్నారు,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
te,hi,స్వాగతం,स्वागत है
ja,hi,ようこそ,स्वागत है
pa,en,ਸਵਾਗਤ ਹੈ,Welcome
te,pa,నమస్తే,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
ja,en,私はプログラミングが好きです,I love programming
hi,pa,आप कैसे हैं,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
te,en,నేను విద్యార్థిని,I am a student
ja,pa,助けが必要です,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
en,te,How are you,మీరు ఎలా ఉన్నారు
pa,ja,ਸਵਾਗਤ ਹੈ,ようこそ
te,hi,శుభోదయం,सुप्रभात
en,te,This is my book,ఇది నా పుస్తకం
pa,te,ਸ਼ੁਭ ਸਵੇਰ,శుభోదయం
en,ja,I am a student,私は学生です
en,hi,I need help,मुझे मदद चाहिए
en,hi,This is my book,यह मेरी किताब है
pa,te,ਸਵਾਗਤ ਹੈ,స్వాగతం
te,pa,స్వాగతం,ਸਵਾਗਤ ਹੈ
ja,en,ようこそ,Welcome
ja,en,私はプログラミングが好きです,I love programming
hi,en,मुझे मदद चाहिए,I need help
pa,en,ਸ਼ੁਭ ਸਵੇਰ,Good morning
te,hi,శుభోదయం,सुप्रभात
te,pa,నాకు సహాయం కావాలి,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
te,ja,నమస్తే,こんにちは
ja,en,助けが必要です,I need help
hi,en,नमस्ते,Hello
hi,te,यह मेरी किताब है,ఇది నా పుస్తకం
ja,hi,こんにちは,नमस्ते
ja,hi,これは私の本です,यह मेरी किताब है
ja,hi,おやすみなさい,शुभ रात्रि
hi,pa,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
pa,hi,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,मुझे प्रोग्रामिंग पसंद है
en,pa,I am a student,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
en,ja,I am a student,私は学生です
hi,en,मुझे प्रोग्रामिंग पसंद है,I love programming
en,hi,Thank you,धन्यवाद
te,hi,స్వాగతం,स्वागत है
te,hi,నమస్తే,नमस्ते
en,hi,I need help,मुझे मदद चाहिए
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
te,en,నమస్తే,Hello
en,te,Thank you,ధన్యవాదాలు
te,pa,శుభోదయం,ਸ਼ੁਭ ਸਵੇਰ
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
hi,en,आप कैसे हैं,How are you
te,hi,ధన్యవాదాలు,धन्यवाद
en,te,Welcome,స్వాగతం
hi,te,सुप्रभात,శుభోదయం
hi,te,नमस्ते,నమస్తే
ja,pa,おやすみなさい,ਸ਼ੁਭ ਰਾਤ
en,ja,Welcome,ようこそ
ja,pa,こんにちは,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
ja,te,ありがとうございます,ధన్యవాదాలు
hi,en,शुभ रात्रि,Good night
en,te,I love programming,నాకు ప్రోగ్రామింగ్ ఇష్టం
ja,te,私は学生です,నేను విద్యార్థిని
hi,ja,शुभ रात्रि,おやすみなさい
te,pa,ఇది నా పుస్తకం,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
en,ja,Good night,おやすみなさい
en,pa,I need help,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
te,ja,ధన్యవాదాలు,ありがとうございます
pa,en,ਸ਼ੁਭ ਰਾਤ,Good night
en,hi,How are you,आप कैसे हैं
en,pa,Good night,ਸ਼ੁਭ ਰਾਤ
te,en,నాకు సహాయం కావాలి,I need help
ja,te,お元気ですか,మీరు ఎలా ఉన్నారు
te,ja,నాకు ప్రోగ్రామింగ్ ఇష్టం,私はプログラミングが好きです
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
en,hi,Welcome,स्वागत है
te,ja,నాకు ప్రోగ్రామింగ్ ఇష్టం,私はプログラミングが好きです
en,te,How are you,మీరు ఎలా ఉన్నారు
en,te,How are you,మీరు ఎలా ఉన్నారు
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
pa,te,ਧੰਨਵਾਦ,ధన్యవాదాలు
pa,hi,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,मुझे मदद चाहिए
en,te,I need help,నాకు సహాయం కావాలి
hi,ja,नमस्ते,こんにちは
te,en,నమస్తే,Hello
pa,te,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,నమస్తే
en,pa,I need help,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
te,en,నమస్తే,Hello
te,ja,నమస్తే,こんにちは
ja,te,お元気ですか,మీరు ఎలా ఉన్నారు
ja,en,ようこそ,Welcome
hi,en,नमस्ते,Hello
hi,pa,यह मेरी किताब है,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
en,ja,I need help,助けが必要です
en,ja,How are you,お元気ですか
ja,te,私はプログラミングが好きです,నాకు ప్రోగ్రామింగ్ ఇష్టం
pa,en,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,How are you
te,pa,శుభోదయం,ਸ਼ੁਭ ਸਵੇਰ
ja,pa,ありがとうございます,ਧੰਨਵਾਦ
pa,te,ਸ਼ੁਭ ਰਾਤ,శుభ రాత్రి
hi,en,सुप्रभात,Good morning
en,ja,I love programming,私はプログラミングが好きです
en,hi,I need help,मुझे मदद चाहिए
en,te,Good night,శుభ రాత్రి
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
ja,te,お元気ですか,మీరు ఎలా ఉన్నారు
ja,hi,助けが必要です,मुझे मदद चाहिए
en,pa,How are you,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
te,ja,నాకు ప్రోగ్రామింగ్ ఇష్టం,私はプログラミングが好きです
te,en,నాకు సహాయం కావాలి,I need help
hi,en,यह मेरी किताब है,This is my book
en,ja,Hello,こんにちは
te,hi,స్వాగతం,स्वागत है
ja,hi,ありがとうございます,धन्यवाद
te,en,నమస్తే,Hello
en,hi,Thank you,धन्यवाद
en,ja,I need help,助けが必要です
en,hi,Hello,नमस्ते
pa,hi,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,मुझे मदद चाहिए
pa,hi,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,नमस्ते
pa,te,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,నాకు ప్రోగ్రామింగ్ ఇష్టం
ja,pa,ありがとうございます,ਧੰਨਵਾਦ
en,hi,I am a student,मैं एक छात्र हूँ
te,en,ధన్యవాదాలు,Thank you
hi,en,नमस्ते,Hello
te,en,నాకు సహాయం కావాలి,I need help
en,hi,I need help,मुझे मदद चाहिए
te,ja,నమస్తే,こんにちは
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
en,te,I need help,నాకు సహాయం కావాలి
en,hi,Thank you,धन्यवाद
te,en,నమస్తే,Hello
hi,en,शुभ रात्रि,Good night
ja,te,私は学生です,నేను విద్యార్థిని
pa,te,ਸ਼ੁਭ ਰਾਤ,శుభ రాత్రి
ja,hi,私は学生です,मैं एक छात्र हूँ
ja,hi,こんにちは,नमस्ते
te,ja,నాకు ప్రోగ్రామింగ్ ఇష్టం,私はプログラミングが好きです
en,pa,I love programming,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
hi,pa,शुभ रात्रि,ਸ਼ੁਭ ਰਾਤ
ja,pa,お元気ですか,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
te,ja,నేను విద్యార్థిని,私は学生です
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
hi,ja,यह मेरी किताब है,これは私の本です
en,te,Good morning,శుభోదయం
en,ja,I need help,助けが必要です
hi,te,मैं एक छात्र हूँ,నేను విద్యార్థిని
pa,ja,ਸਵਾਗਤ ਹੈ,ようこそ
en,ja,Hello,こんにちは
te,pa,స్వాగతం,ਸਵਾਗਤ ਹੈ
te,en,నేను విద్యార్థిని,I am a student
hi,en,सुप्रभात,Good morning
ja,pa,助けが必要です,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
pa,te,ਸ਼ੁਭ ਰਾਤ,శుభ రాత్రి
pa,hi,ਧੰਨਵਾਦ,धन्यवाद
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
pa,te,ਸ਼ੁਭ ਸਵੇਰ,శుభోదయం
pa,ja,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,私は学生です
en,ja,I am a student,私は学生です
ja,hi,ようこそ,स्वागत है
en,te,Welcome,స్వాగతం
en,te,Thank you,ధన్యవాదాలు
te,ja,శుభ రాత్రి,おやすみなさい
pa,ja,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,助けが必要です
pa,ja,ਸਵਾਗਤ ਹੈ,ようこそ
ja,en,おはようございます,Good morning
te,hi,శుభ రాత్రి,शुभ रात्रि
en,te,Welcome,స్వాగతం
te,en,శుభ రాత్రి,Good night
en,hi,How are you,आप कैसे हैं
hi,te,मुझे प्रोग्रामिंग पसंद है,నాకు ప్రోగ్రామింగ్ ఇష్టం
te,ja,నాకు సహాయం కావాలి,助けが必要です
hi,te,सुप्रभात,శుభోదయం
ja,hi,こんにちは,नमस्ते
pa,hi,ਸ਼ੁਭ ਰਾਤ,शुभ रात्रि
te,hi,ఇది నా పుస్తకం,यह मेरी किताब है
hi,pa,मुझे मदद चाहिए,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
pa,ja,ਸਵਾਗਤ ਹੈ,ようこそ
hi,ja,यह मेरी किताब है,これは私の本です
te,hi,ఇది నా పుస్తకం,यह मेरी किताब है
pa,ja,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,私は学生です
hi,te,मुझे मदद चाहिए,నాకు సహాయం కావాలి
te,ja,నాకు ప్రోగ్రామింగ్ ఇష్టం,私はプログラミングが好きです
pa,en,ਸ਼ੁਭ ਰਾਤ,Good night
en,hi,How are you,आप कैसे हैं
te,hi,మీరు ఎలా ఉన్నారు,आप कैसे हैं
en,ja,I need help,助けが必要です
te,hi,నాకు ప్రోగ్రామింగ్ ఇష్టం,मुझे प्रोग्रामिंग पसंद है
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
te,hi,స్వాగతం,स्वागत है
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
en,pa,I need help,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
ja,en,私はプログラミングが好きです,I love programming
ja,en,お元気ですか,How are you
ja,hi,助けが必要です,मुझे मदद चाहिए
hi,en,मुझे मदद चाहिए,I need help
pa,ja,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,私はプログラミングが好きです
pa,hi,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,मुझे प्रोग्रामिंग पसंद है
ja,pa,ありがとうございます,ਧੰਨਵਾਦ
en,hi,Good night,शुभ रात्रि
te,ja,నాకు సహాయం కావాలి,助けが必要です
pa,ja,ਸ਼ੁਭ ਰਾਤ,おやすみなさい
te,ja,శుభోదయం,おはようございます
pa,hi,ਸ਼ੁਭ ਰਾਤ,शुभ रात्रि
hi,pa,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
pa,ja,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,私は学生です
en,ja,I need help,助けが必要です
en,ja,Good morning,おはようございます
en,pa,Hello,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
te,hi,నేను విద్యార్థిని,मैं एक छात्र हूँ
ja,pa,私はプログラミングが好きです,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
hi,ja,स्वागत है,ようこそ
ja,en,ようこそ,Welcome
en,ja,Welcome,ようこそ
